MPU6050 Found!
-0.22,-0.02
4.80,-7.46,-3.08,0.42,-0.88,-0.51
4.69,-9.43,-0.72,0.14,1.31,-0.21
8.15,-7.48,1.79,0.23,0.66,-0.44
6.27,-8.18,0.44,-0.25,0.96,-0.02
5.19,-9.71,0.16,-0.66,0.52,-0.41
5.87,-7.93,0.48,-0.47,0.11,0.80
5.37,-8.49,-1.44,0.00,-0.28,0.18
4.55,-8.66,-1.25,-0.03,-0.32,-0.15
4.61,-8.94,-0.92,0.12,0.20,0.30
3.44,-8.20,-0.11,0.21,0.13,-0.07
4.90,-8.36,-0.24,0.14,0.01,0.16
5.82,-5.94,-1.47,-0.25,0.34,-0.85
9.27,-5.52,-1.15,-4.17,2.12,-1.84
7.28,-7.92,-2.14,-0.40,-0.23,-0.34
11.02,3.24,1.28,0.70,-0.10,-0.60
37.61,-21.57,-4.08,0.43,-1.39,6.54
-1.73,-11.71,-5.44,0.85,-2.31,0.30
4.47,-9.78,-4.38,-0.22,0.43,0.42
1.05,-8.18,4.43,0.36,0.05,-0.16
3.92,-9.34,-3.16,0.14,-0.19,0.11
1.40,-8.79,0.92,0.08,0.23,-0.20
3.76,-9.68,-2.89,0.75,0.04,-0.04
1.45,-8.59,1.29,-0.93,-0.20,-0.18
2.73,-8.73,0.40,0.59,0.34,0.13
3.21,-9.93,-3.13,0.74,-0.09,0.06
3.33,-9.78,-2.83,-0.08,0.05,0.01
2.95,-9.67,-2.25,-0.10,-0.17,0.04
3.57,-9.64,-2.41,0.37,0.14,-0.00
1.78,-8.85,0.47,0.36,0.06,0.01
3.00,-9.61,-1.58,-0.03,-0.07,0.13
2.84,-9.13,-0.40,0.15,0.00,0.02
2.89,-9.29,-0.73,0.14,0.03,-0.05
2.73,-9.32,-0.65,0.15,0.02,-0.06
2.62,-9.39,-0.80,0.14,0.01,-0.03
2.54,-9.39,-0.79,0.13,-0.00,0.01
2.62,-9.36,-0.76,0.13,-0.01,0.04
2.70,-9.31,-0.79,0.13,-0.01,0.05
2.74,-9.33,-0.74,0.13,-0.01,0.03
2.76,-9.31,-0.72,0.14,0.00,0.01
2.75,-9.30,-0.74,0.13,0.00,-0.00
2.73,-9.34,-0.68,0.13,0.01,-0.02
2.68,-9.37,-0.76,0.14,0.01,-0.04
2.59,-9.41,-0.84,0.14,0.00,-0.01
2.59,-9.38,-0.84,0.13,-0.00,0.01
2.59,-9.38,-0.84,0.13,-0.00,0.01
2.65,-9.37,-0.80,0.14,0.00,0.00
2.67,-9.35,-0.73,0.14,0.00,-0.00
2.71,-9.23,-0.73,0.13,0.00,0.00
2.70,-9.35,-0.80,0.13,-0.00,0.02
2.71,-8.96,-0.61,0.11,0.00,0.01
2.70,-9.33,-0.78,0.12,-0.00,0.01
2.72,-9.34,-0.75,0.13,0.00,-0.01
2.74,-9.35,-0.77,0.14,0.00,-0.00
2.76,-9.31,-0.75,0.14,-0.00,0.01
2.69,-9.32,-0.75,0.13,-0.01,0.03
2.64,-9.36,-0.79,0.13,-0.01,0.02
2.66,-9.35,-0.73,0.13,-0.01,0.03
2.66,-9.37,-0.78,0.13,-0.01,0.03
2.69,-9.33,-0.76,0.13,-0.01,0.03
2.70,-9.34,-0.79,0.13,-0.01,0.04
2.72,-9.36,-0.77,0.13,-0.00,0.03
2.71,-9.35,-0.75,0.13,-0.00,0.01
2.69,-9.33,-0.77,0.13,-0.00,0.01
2.70,-9.34,-0.75,0.13,0.00,0.00
2.67,-9.35,-0.74,0.13,0.00,0.00
2.69,-9.37,-0.76,0.14,0.00,-0.01
2.69,-9.32,-0.78,0.13,0.00,-0.00
2.72,-9.34,-0.75,0.14,0.00,-0.00
2.71,-9.33,-0.76,0.14,0.00,0.00
2.74,-9.31,-0.74,0.14,0.00,0.00
2.69,-9.30,-0.71,0.14,-0.01,0.02
2.65,-9.37,-0.82,0.13,-0.01,0.03
2.68,-9.34,-0.80,0.13,-0.01,0.02
2.78,-9.31,-0.79,0.13,-0.01,0.04
2.75,-9.32,-0.74,0.13,-0.00,0.01
2.73,-9.33,-0.76,0.13,-0.00,0.00
2.71,-9.35,-0.78,0.13,0.00,-0.00
2.71,-9.37,-0.81,0.14,0.01,-0.02
2.73,-9.34,-0.78,0.13,0.00,-0.01
2.75,-9.33,-0.75,0.13,0.00,0.01
2.74,-9.34,-0.77,0.13,-0.00,0.01
2.74,-9.27,-0.65,0.15,-0.01,0.01
2.73,-9.42,-0.78,0.14,0.00,0.00
2.61,-9.64,-0.86,0.14,0.01,-0.00
2.66,-9.33,-0.66,0.15,-0.01,0.02
2.69,-9.35,-0.80,0.14,-0.01,0.03
2.71,-9.34,-0.81,0.13,-0.00,0.01
2.76,-9.33,-0.72,0.13,0.00,0.01
2.72,-9.34,-0.70,0.14,-0.00,0.01
2.74,-9.34,-0.73,0.14,-0.00,0.01
2.72,-9.35,-0.78,0.13,-0.00,0.01
2.74,-9.34,-0.78,0.14,0.01,-0.02
2.67,-9.35,-0.78,0.14,0.00,-0.00
2.70,-9.33,-0.71,0.14,-0.00,0.02
2.67,-9.34,-0.72,0.13,-0.00,0.02
2.72,-9.36,-0.73,0.14,-0.00,0.01
2.70,-9.37,-0.81,0.14,-0.00,0.00
2.70,-9.35,-0.79,0.13,-0.00,0.00
2.71,-9.35,-0.78,0.13,-0.00,0.01
2.73,-9.34,-0.79,0.14,-0.00,0.01
